n,sortusingbst.ticks
100,2732
200,7428
300,10368
400,16140
500,20780
600,27768
700,32160
800,35524
900,43696
1000,60224
1100,55864
1200,57204
1300,66736
1400,69216
1500,83984
1600,80204
1700,95508
1800,96520
1900,105372
2000,103980
2100,109016
2200,112324
2300,127328
2400,131292
2500,174072
2600,142100
2700,145280
2800,155212
2900,188108
3000,164104
3100,177148
3200,199392
3300,192964
3400,184172
3500,197208
3600,227588
3700,215340
3800,215432
3900,218640
4000,243128
4100,226176
4200,238980
4300,260068
4400,264416
4500,262296
4600,262804
4700,297312
4800,276916
4900,290136
5000,309760
5100,312328
5200,310636
5300,327436
5400,327960
5500,341292
5600,356140
5700,364692
5800,359680
5900,364432
6000,368112
6100,389652
6200,397020
6300,392700
6400,404852
6500,413040
6600,429124
6700,409452
6800,444504
6900,433060
7000,449152
7100,433028
7200,442880
7300,454248
7400,453680
7500,529656
7600,494636
7700,504272
7800,485500
7900,524420
8000,511248
8100,547236
8200,519752
8300,522680
8400,530872
8500,537244
8600,595752
8700,552016
8800,563260
8900,589612
9000,597440
9100,606800
9200,586984
9300,595460
9400,605432
9500,618832
9600,623152
9700,681872
9800,624380
9900,681132
