n,sortusingbst.time
100,0
200,0
300,0
400,0
500,0
600,1
700,1
800,0
900,0
1000,1
1100,0
1200,1
1300,0
1400,0
1500,0
1600,0
1700,0
1800,0
1900,0
2000,0
2100,0
2200,0
2300,0
2400,0
2500,1
2600,1
2700,1
2800,0
2900,1
3000,0
3100,1
3200,1
3300,0
3400,1
3500,1
3600,1
3700,1
3800,1
3900,0
4000,1
4100,1
4200,1
4300,1
4400,1
4500,1
4600,1
4700,1
4800,1
4900,2
5000,1
5100,1
5200,1
5300,1
5400,2
5500,1
5600,2
5700,2
5800,1
5900,2
6000,1
6100,2
6200,3
6300,2
6400,3
6500,3
6600,3
6700,2
6800,2
6900,2
7000,2
7100,3
7200,3
7300,4
7400,3
7500,3
7600,3
7700,4
7800,3
7900,4
8000,3
8100,3
8200,3
8300,3
8400,3
8500,3
8600,3
8700,3
8800,2
8900,3
9000,3
9100,3
9200,3
9300,3
9400,3
9500,3
9600,3
9700,3
9800,3
9900,3
