n,sortusingunorderedlist.time
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,1
900,1
1000,1
1100,1
1200,2
1300,2
1400,3
1500,4
1600,4
1700,4
1800,5
1900,6
2000,6
2100,7
2200,7
2300,8
2400,9
2500,10
2600,10
2700,11
2800,11
2900,12
3000,13
3100,15
3200,15
3300,16
3400,18
3500,18
3600,19
3700,20
3800,22
3900,22
4000,27
4100,26
4200,26
4300,25
4400,27
4500,29
4600,32
4700,33
4800,34
4900,38
5000,38
5100,37
5200,38
5300,44
5400,45
5500,46
5600,47
5700,50
5800,47
5900,54
6000,53
6100,56
6200,59
6300,61
6400,67
6500,65
6600,70
6700,69
6800,66
6900,74
7000,73
7100,76
7200,80
7300,82
7400,82
7500,95
7600,82
7700,89
7800,100
7900,100
8000,104
8100,113
8200,110
8300,117
8400,114
8500,116
8600,126
8700,121
8800,131
8900,119
9000,121
9100,131
9200,148
9300,144
9400,141
9500,154
9600,152
9700,154
9800,145
9900,154
