Iteration,Pancake Values,Syrup Values,PancakeAndSyrup Values
0,4,1167983975,810438002
1,2,-2020636452,127255319
2,-5,1440082737,-526177287
3,-3,1498447310,-649136478
4,4,-990551316,2062908947
5,-2,1168783299,1780921708
6,-5,1714076730,-1988107723
7,3,449955608,-463159342
8,2,399322364,81968348
9,-4,-1600434286,-1894535026
10,-6,1769020640,951930755
11,-1,-1814206685,-800409615
12,-3,-269116379,-349732852
13,-6,241132450,796101008
14,2,1882169759,-546501433
15,4,1390700869,1015757777
16,6,-108985611,-1942860629
17,4,1403674561,670898310
18,-5,-1360577950,-56668193
19,-3,-1590311465,1371699210
20,3,320898853,-2145197241
21,-1,1421440304,-1123361864
22,1,479031449,-17333142
23,-1,128104848,1709257459
24,1,1302622068,-1760193942
25,-2,983561916,1268553397
26,2,-1902165491,860887053
27,3,-1210057819,-59447542
28,6,-694000478,1251088486
29,5,205610543,1858949961
30,-3,1860154455,543315148
31,6,1612151824,225864627
32,-4,-2085071251,-1070954122
33,-4,886053706,1062113995
34,-1,844942904,1803804574
35,-2,2132499841,-1065570134
36,-6,1022900832,-889308921
37,-4,677758806,-986609179
38,-2,2135279971,-835178894
39,-3,-281440388,1096533447
40,-2,-1153795082,-2077028768
41,-3,-1926252350,1842760486
42,-2,606937366,1749547128
43,-4,355286505,-1896052939
44,4,-1100327406,1301356439
45,1,83745780,822240325
46,1,242152481,-1372469551
47,4,-1816379483,1176347886
48,-3,29545401,-331662441
49,3,1073896159,-1445212762
50,1,1224397062,642725659
51,6,-2045065394,1437167000
52,6,-487724122,1765761714
53,4,-974180486,1902220005
54,1,1283956834,-410012646
55,-1,717004075,1459620032
56,-2,-1455454922,225524605
57,-4,-1918753311,244445560
58,-2,-1369215717,36428014
59,3,1221126018,1481404204
60,5,11031230,-299974499
61,-1,1332795691,-452809786
62,-5,-2012696065,-1759855287
63,2,-915247354,-38817054
64,-1,-319004625,2121145748
65,-4,-655330353,-599637819
66,4,532352572,-300594896
67,2,-243735049,-1565912835
68,1,2137535893,737031696
69,2,1919410976,-339095073
70,6,1922970685,-1544938671
71,6,-1634559352,-338866493
72,5,547753517,479804072
73,6,-236699166,149751892
74,-2,-1897646588,390085721
75,-5,-1077880181,1504884720
76,-6,-774450265,-1305848446
77,3,-1887081804,105661006
78,-1,654551043,1822534177
79,2,-1998904360,1288655221
80,4,897950061,-1122211214
81,-5,1369194626,-513412165
82,-2,103918376,1912882561
83,5,997578473,1706177342
84,-4,1895973590,689169067
85,-1,897706618,1375212642
86,-1,-663293682,962903433
87,1,599742873,-1047308952
88,2,1342760267,2080618096
89,-5,-2018303920,303048231
90,-4,-391223386,236233565
91,3,321895563,-2109821892
92,3,-312229122,592227111
93,-2,-2124517662,-1674656241
94,5,2130090085,997970920
95,2,-737883222,-1768738080
96,1,-1580166143,2113512967
97,-3,1369718939,-509646724
98,-3,-2036093285,-35105021
99,-5,-332076054,1524393297
100,-5,-982518635,792919466
101,-5,-788271179,-1439869813
102,1,-913124742,-833276840
103,5,-1463588052,257999105
104,-6,556596819,-128832440
105,-5,137206701,921895414
106,-4,228820096,285757263
107,5,-1548755317,340125723
108,-3,363635360,-1797970708
109,2,55080718,-1714592501
110,1,-1271940112,-184723922
111,1,662917660,-916957624
112,4,-1097806695,907105699
113,-1,37704605,-1989650255
114,-2,1701144669,-1241760351
115,-3,1791455586,1171724603
116,-1,787667097,788238761
117,-3,-509994421,-1328883792
118,-2,606896046,-361244673
119,-6,-879931151,-2057963448
120,6,91388483,2016955977
121,-6,1554019775,1722942545
122,-5,1814662618,600999031
123,-5,-702808949,-1253909450
124,-2,-322420817,-1521380746
125,5,910758774,-1184662947
126,5,-634756379,-1627548601
127,-5,-530020153,161297183
128,6,-1161733068,1992596930
129,6,32322111,-12098848
130,-4,-740869803,779287932
131,6,723001451,1251611185
132,-1,1553668945,-122673744
133,4,-1629099616,338660949
134,-3,-1738240645,-37824691
135,-2,2028488736,2000431068
136,1,814843626,1340583319
137,-3,-1826739167,168302685
138,-1,-122491784,1984416895
139,-2,-825188919,1166378052
140,-2,1075091861,1379966598
141,2,-1850605132,-1715157469
142,-2,-1036217603,-1298247142
143,2,-1907282694,903289746
144,3,463709653,-290754515
145,-6,-454959074,1873683474
146,2,-171320792,1907913483
